benchmark,mean_ns
optimizers_misc_1d/beads_256,23093665.232
spline_1d/pspline_iasls_256,15934014.626
spline_1d/pspline_aspls_256,8953806.777
whittaker_2d/brpls_16x16,8232144.166
polynomial_1d/goldindec_256,6661665.268
whittaker_2d/arpls_16x16,6647698.200
spline_1d/pspline_drpls_256,3713029.944
whittaker_2d/aspls_16x16,2236233.830
whittaker_2d/psalsa_16x16,2093622.195
whittaker_2d/iarpls_16x16,1636826.538
morphology_2d/imor_16x16,1537423.939
whittaker_2d/drpls_16x16,1373644.227
optimizers_2d/collab_pls_2x16x16,1299657.096
whittaker_2d/airpls_16x16,1180307.506
spline_2d/pspline_iarpls_16x16,1124228.688
spline_2d/pspline_airpls_16x16,1095353.552
whittaker_2d/lsrpls_16x16,821802.702
whittaker_2d/iasls_16x16,821791.223
whittaker_2d/asls_16x16,819674.283
whittaker_2d/arpls_eigen_16x16,735322.619
polynomial_2d/quant_reg_16x16,609274.815
spline_2d/pspline_brpls_16x16,522743.312
spline_2d/irsqr_16x16,428911.118
morphology_1d/amormol_256,389657.075
spline_1d/pspline_arpls_256,364178.505
spline_2d/pspline_iasls_16x16,359947.069
whittaker_1d/arpls_256,327998.474
spline_1d/pspline_lsrpls_256,307446.736
whittaker_1d/lsrpls_256,292606.989
spline_2d/pspline_arpls_16x16,250138.187
whittaker_1d/aspls_256,245732.353
polynomial_1d/quant_reg_256,238544.319
smoothing_1d/swima_256,223436.767
spline_2d/pspline_psalsa_16x16,218839.426
spline_1d/irsqr_256,216884.083
polynomial_2d/penalized_poly_16x16,203859.416
morphology_1d/imor_256,195766.743
polynomial_2d/imodpoly_16x16,184343.025
optimizers_misc_1d/optimize_extended_range_256,180839.973
whittaker_1d/airpls_256,172553.762
spline_1d/pspline_brpls_256,157511.664
polynomial_2d/modpoly_16x16,150220.129
spline_1d/pspline_iarpls_256,148110.668
optimizers_2d/adaptive_minmax_16x16,147995.270
spline_1d/mixture_model_256,140264.822
classification_1d/dietrich_256,131072.639
morphology_1d/jbcd_256,130353.674
whittaker_1d/iarpls_256,126934.983
morphology_1d/mormol_256,120581.262
smoothing_1d/ipsa_256,92121.967
spline_2d/mixture_model_16x16,89066.816
spline_2d/pspline_lsrpls_16x16,88214.146
spline_2d/pspline_asls_16x16,85920.990
whittaker_1d/brpls_256,79337.700
polynomial_1d/loess_256,79054.657
polynomial_1d/modpoly_256,75783.936
spline_1d/pspline_psalsa_256,73458.283
spline_1d/pspline_derpsalsa_256,70522.732
polynomial_1d/penalized_poly_256,70350.099
polynomial_1d/imodpoly_256,65178.593
whittaker_1d/drpls_256,59674.596
classification_1d/cwt_br_256,57452.226
optimizers_misc_1d/collab_pls_3x256,57047.701
spline_1d/corner_cutting_256,55308.741
smoothing_1d/ria_256,55295.490
whittaker_1d/derpsalsa_256,54863.231
spline_1d/pspline_asls_256,51600.006
whittaker_1d/iasls_256,50850.464
whittaker_1d/psalsa_256,47125.402
optimizers_2d/individual_axes_16x16,43412.254
optimizers_misc_1d/custom_bc_256,41863.214
spline_1d/pspline_airpls_256,41394.143
morphology_1d/mpspline_256,40043.771
batch_cpu/snip_batch_cpu_16x256,39817.194
whittaker_1d/asls_256,38564.145
spline_1d/pspline_mpls_256,27759.795
morphology_2d/noise_median_16x16,25796.314
smoothing_1d/noise_median_256,25625.994
classification_1d/fabc_256,25575.340
optimizers_misc_1d/adaptive_minmax_256,24670.464
polynomial_2d/poly_16x16,20723.184
morphology_2d/mor_16x16,18265.581
morphology_2d/rolling_ball_16x16,13431.766
classification_1d/std_distribution_256,11675.688
morphology_1d/mpls_256,10568.197
morphology_1d/mor_256,9697.993
morphology_1d/snip_256,9592.019
smoothing_1d/snip_256,9566.327
morphology_2d/tophat_16x16,8885.599
classification_1d/fastchrom_256,8830.342
classification_1d/golotvin_256,8470.084
smoothing_1d/peak_filling_256,7852.943
polynomial_1d/poly_256,5434.449
morphology_1d/rolling_ball_256,5412.002
morphology_1d/tophat_256,4894.662
morphology_1d/mwmv_256,3025.451
classification_1d/rubberband_256,821.382
optimizers_misc_1d/interp_pts_256,176.956
