benchmark,mean_ns
batch_cpu/snip_batch_cpu_16x256,40927.09083515782
classification_1d/cwt_br_256,35710.2445026455
classification_1d/dietrich_256,33384.12465216813
classification_1d/fabc_256,23594.352455639855
classification_1d/fastchrom_256,8759.605496118305
classification_1d/fastchrom_with_mask_256,8773.358695279867
classification_1d/golotvin_256,8224.771095144173
classification_1d/rubberband_256,794.6496867389844
classification_1d/std_distribution_256,11554.115225656677
classification_1d/std_distribution_with_mask_256,11657.969883404105
morphology_1d/amormol_256,226355.0477797619
morphology_1d/imor_256,115564.25504451567
morphology_1d/jbcd_256,134316.55487860274
morphology_1d/mor_256,5587.7991390544885
morphology_1d/mormol_256,76459.05962368846
morphology_1d/mpls_256,8751.103066362388
morphology_1d/mpspline_256,34587.11206042806
morphology_1d/mwmv_256,2027.773245662606
morphology_1d/rolling_ball_256,3528.1869227018806
morphology_1d/snip_256,10042.601501645102
morphology_1d/tophat_256,2852.5029838681303
morphology_1d_into/amormol_into_256,225145.05770478147
morphology_1d_into/imor_into_256,119482.76265693802
morphology_1d_into/jbcd_into_256,118807.43892857141
morphology_1d_into/mor_into_256,5686.131613397103
morphology_1d_into/mormol_into_256,76752.50980470375
morphology_1d_into/mpls_into_256,8555.495843385464
morphology_1d_into/mpspline_into_256,34565.7380165456
morphology_1d_into/mwmv_into_256,2007.2827201882562
morphology_1d_into/rolling_ball_into_256,3380.2920532181715
morphology_1d_into/snip_into_256,9892.666434061959
morphology_1d_into/tophat_into_256,2874.107452169262
morphology_2d/imor_16x16,419295.1423953824
morphology_2d/mor_16x16,6741.127334128758
morphology_2d/noise_median_16x16,25431.91716060986
morphology_2d/rolling_ball_16x16,8030.29494905548
morphology_2d/tophat_16x16,3479.2883778021933
morphology_2d_into/imor_into_16x16,424536.16807585827
morphology_2d_into/mor_into_16x16,7872.7622674280965
morphology_2d_into/noise_median_into_16x16,24837.487210808158
morphology_2d_into/rolling_ball_into_16x16,7999.41689530469
morphology_2d_into/tophat_into_16x16,3418.233458588819
optimizers_2d/adaptive_minmax_16x16,73393.08845455959
optimizers_2d/collab_pls_2x16x16,467638.16049707605
