benchmark,before_mean_ns,after_mean_ns,change_percent,commit_or_worktree
optimizers_misc_1d/beads_256,23094000,609000,-97.36,3913b07
spline_1d/pspline_iasls_256,15934000,159000,-99.00,922817e
spline_1d/pspline_aspls_256,8954000,990000,-88.74,922817e
spline_1d/pspline_drpls_256,3713000,348000,-90.60,922817e
polynomial_1d/goldindec_256,6661665,3371000,-49.20,5220e2a
morphology_2d/rolling_ball_16x16,13432,7834,-41.67,5c9b453
morphology_2d/tophat_16x16,8886,3501,-60.60,5c9b453
morphology_2d/mor_16x16,18266,6781,-62.88,5c9b453
morphology_2d/imor_16x16,1537424,409770,-73.35,5c9b453
morphology_2d/noise_median_16x16,25796,24759,-4.02,5c9b453
spline_2d/pspline_asls_16x16,85921,60206,-29.93,2a9564b
spline_2d/pspline_iasls_16x16,359947,348561,-3.16,2a9564b
spline_2d/pspline_airpls_16x16,1095354,729414,-33.41,2a9564b
spline_2d/pspline_arpls_16x16,250138,170790,-31.72,2a9564b
spline_2d/pspline_iarpls_16x16,1124229,740230,-34.16,2a9564b
spline_2d/pspline_psalsa_16x16,218839,144543,-33.95,2a9564b
spline_2d/pspline_brpls_16x16,522743,321805,-38.44,2a9564b
spline_2d/pspline_lsrpls_16x16,88214,61569,-30.20,2a9564b
spline_2d/irsqr_16x16,428911,288705,-32.69,2a9564b
spline_2d/mixture_model_16x16,89067,58332,-34.51,2a9564b
whittaker_2d/asls_16x16,819674,666876,-18.64,bece835
whittaker_2d/iasls_16x16,821791,663294,-19.29,bece835
whittaker_2d/airpls_16x16,1180308,978738,-17.08,bece835
whittaker_2d/arpls_16x16,6647698,5399629,-18.77,bece835
whittaker_2d/drpls_16x16,1373644,1114648,-18.85,bece835
whittaker_2d/iarpls_16x16,1636827,1312802,-19.80,bece835
whittaker_2d/aspls_16x16,2236234,1795232,-19.72,bece835
whittaker_2d/psalsa_16x16,2093622,1700623,-18.77,bece835
whittaker_2d/brpls_16x16,8232144,6700514,-18.61,bece835
whittaker_2d/lsrpls_16x16,821803,671233,-18.32,bece835
whittaker_2d/asls_16x16,666876,651440,-2.31,f5463a9
whittaker_2d/iasls_16x16,663294,651268,-1.81,f5463a9
whittaker_2d/airpls_16x16,978738,941755,-3.78,f5463a9
whittaker_2d/arpls_16x16,5399629,5242845,-2.90,f5463a9
whittaker_2d/drpls_16x16,1114648,1085520,-2.61,f5463a9
whittaker_2d/iarpls_16x16,1312802,1280748,-2.44,f5463a9
whittaker_2d/aspls_16x16,1795232,1754287,-2.28,f5463a9
whittaker_2d/psalsa_16x16,1700623,1651115,-2.91,f5463a9
whittaker_2d/brpls_16x16,6700514,6533301,-2.50,f5463a9
whittaker_2d/lsrpls_16x16,671233,660735,-1.56,f5463a9
polynomial_1d/poly_256,2812,2597,-7.65,ee2467e
polynomial_1d/modpoly_256,39209,17095,-56.40,ee2467e
polynomial_1d/penalized_poly_256,34112,14798,-56.62,ee2467e
polynomial_1d/goldindec_256,3361222,1353887,-59.72,ee2467e
polynomial_2d/poly_16x16,20723,11443,-44.78,13f5388
polynomial_2d/modpoly_16x16,150220,65565,-56.35,13f5388
polynomial_2d/imodpoly_16x16,184343,59038,-67.97,13f5388
polynomial_2d/penalized_poly_16x16,203859,82462,-59.55,13f5388
polynomial_2d/quant_reg_16x16,609275,259076,-57.48,13f5388
polynomial_1d/penalized_poly_256,14798,14218,-3.92,e3bd4bc
polynomial_1d/goldindec_256,1353887,1207371,-10.82,e3bd4bc
polynomial_1d/goldindec_256,1211000,920130,-24.09,421550c
polynomial_1d_into/goldindec_into_256,1235231,924390,-25.16,421550c
morphology_1d/rolling_ball_256,5397,3373,-37.49,2f42204
morphology_1d/tophat_256,4770,2839,-40.48,2f42204
morphology_1d/mwmv_256,2983,2008,-32.67,2f42204
morphology_1d/mor_256,9507,5601,-41.08,2f42204
morphology_1d/mpls_256,10573,8670,-18.00,2f42204
morphology_1d/imor_256,195076,114797,-41.15,2f42204
morphology_1d/mormol_256,118987,76772,-35.48,2f42204
morphology_1d/amormol_256,385625,226768,-41.19,2f42204
morphology_1d/mpspline_256,38849,34641,-10.83,2f42204
classification_1d/dietrich_256,88800,37107,-58.21,de4b108
classification_1d/dietrich_256,37107,33597,-9.46,de4b108
classification_1d/fabc_256,25393,23177,-8.73,de4b108
whittaker_2d/arpls_eigen_16x16,787690,571920,-27.07,98c4287
spline_2d/pspline_iasls_16x16,356970,131100,-63.27,f9c0a04
spline_2d_into/pspline_iasls_into_16x16,358548,122230,-65.91,f9c0a04
optimizers_misc_1d/beads_256,594097,453495,-23.67,54148d2
